INFO - 2024-11-08 18:05:17,181: Deletando Socket:  ('127.0.0.1', 6000)
INFO - 2024-11-08 18:05:57,312: Iniciando conexão com Servidor
INFO - 2024-11-08 18:05:57,313: Cliente conectado ao servidor: ('127.0.0.1', 6000)
INFO - 2024-11-08 18:05:59,464: Destinatário: ('127.0.0.1', 6000) - Enviado:  'OPTION-1-Requisição de arquivo'
INFO - 2024-11-08 18:05:59,472: Remetente: ('127.0.0.1', 6000) - Recebido: '6'
INFO - 2024-11-08 18:05:59,472: Destinatário: ('127.0.0.1', 6000) - Enviado:  'OK-1-Confirmação'
INFO - 2024-11-08 18:05:59,472: Remetente: ('127.0.0.1', 6000) - Recebido: 'Modelo 1 - Imagem 1 - 60x60.csv'
INFO - 2024-11-08 18:05:59,473: Destinatário: ('127.0.0.1', 6000) - Enviado:  'ACK-1'
INFO - 2024-11-08 18:05:59,473: Remetente: ('127.0.0.1', 6000) - Recebido: 'Modelo 1 - Imagem 2 - 60x60.csv'
INFO - 2024-11-08 18:05:59,474: Destinatário: ('127.0.0.1', 6000) - Enviado:  'ACK-2'
INFO - 2024-11-08 18:05:59,475: Remetente: ('127.0.0.1', 6000) - Recebido: 'Modelo 1 - Imagem 3 - 60x60.csv'
INFO - 2024-11-08 18:05:59,475: Destinatário: ('127.0.0.1', 6000) - Enviado:  'ACK-3'
INFO - 2024-11-08 18:05:59,475: Remetente: ('127.0.0.1', 6000) - Recebido: 'Modelo 2 - Imagem 1 - 30x30.csv'
INFO - 2024-11-08 18:05:59,475: Destinatário: ('127.0.0.1', 6000) - Enviado:  'ACK-4'
INFO - 2024-11-08 18:05:59,475: Remetente: ('127.0.0.1', 6000) - Recebido: 'Modelo 2 - Imagem 2 - 30x30.csv'
INFO - 2024-11-08 18:05:59,475: Destinatário: ('127.0.0.1', 6000) - Enviado:  'ACK-5'
INFO - 2024-11-08 18:05:59,475: Remetente: ('127.0.0.1', 6000) - Recebido: 'Modelo 2 - Imagem 3 - 30x30.csv'
INFO - 2024-11-08 18:05:59,475: Destinatário: ('127.0.0.1', 6000) - Enviado:  'ACK-6'
INFO - 2024-11-08 18:06:02,062: Destinatário: ('127.0.0.1', 6000) - Enviado:  'OI'
INFO - 2024-11-08 18:06:02,063: Remetente: ('127.0.0.1', 6000) - Recebido: 'ERROR-3-Arquivo não encontrado!'
INFO - 2024-11-08 18:06:06,861: Deletando Socket:  ('127.0.0.1', 6000)
INFO - 2024-11-08 18:06:22,284: Iniciando conexão com Servidor
INFO - 2024-11-08 18:06:22,284: Cliente conectado ao servidor: ('127.0.0.1', 6000)
