INFO - 2025-01-15 23:35:02,446: Socket do servidor criado na porta: '6000'
INFO - 2025-01-15 23:35:03,262: Servidor foi inicializado!
INFO - 2025-01-15 23:35:07,027: Remetente: ('127.0.0.1', 55959) - Recebido: 'OPTION-1-Reconstrução de Arquivo'
INFO - 2025-01-15 23:35:07,027: Remetente: ('127.0.0.1', 55959) - Recebido: 'OK-76615ED4423627BF-H_2-Imagem_3_30x30'
INFO - 2025-01-15 23:35:07,027: Destinatário: ('127.0.0.1', 55959) - Enviado:  'OK-Pode receber'
INFO - 2025-01-15 23:35:07,104: Remetente: ('127.0.0.1', 55959) - Recebido: 'Tamanho dos dados b'\x00\x00\x00\x00\x00\x03h\x00''
INFO - 2025-01-15 23:35:07,104: Remetente: ('127.0.0.1', 55959) - Recebido: 'ACK-1'
INFO - 2025-01-15 23:35:07,104: Remetente: ('127.0.0.1', 55959) - Recebido: 'ACK-2'
INFO - 2025-01-15 23:35:07,104: Remetente: ('127.0.0.1', 55959) - Recebido: 'ACK-3'
INFO - 2025-01-15 23:35:07,104: Remetente: ('127.0.0.1', 55959) - Recebido: 'ACK-4'
INFO - 2025-01-15 23:35:07,104: Remetente: ('127.0.0.1', 55959) - Recebido: 'ACK-5'
INFO - 2025-01-15 23:35:07,104: Remetente: ('127.0.0.1', 55959) - Recebido: 'ACK-6'
INFO - 2025-01-15 23:35:07,104: Remetente: ('127.0.0.1', 55959) - Recebido: 'ACK-7'
INFO - 2025-01-15 23:35:07,104: Remetente: ('127.0.0.1', 55959) - Recebido: 'ACK-8'
INFO - 2025-01-15 23:35:07,104: Remetente: ('127.0.0.1', 55959) - Recebido: 'ACK-9'
INFO - 2025-01-15 23:35:07,104: Remetente: ('127.0.0.1', 55959) - Recebido: 'ACK-10'
INFO - 2025-01-15 23:35:07,104: Remetente: ('127.0.0.1', 55959) - Recebido: 'ACK-11'
INFO - 2025-01-15 23:35:07,104: Remetente: ('127.0.0.1', 55959) - Recebido: 'ACK-12'
INFO - 2025-01-15 23:35:07,104: Remetente: ('127.0.0.1', 55959) - Recebido: 'ACK-13'
INFO - 2025-01-15 23:35:07,104: Remetente: ('127.0.0.1', 55959) - Recebido: 'ACK-14'
INFO - 2025-01-15 23:35:07,104: Remetente: ('127.0.0.1', 55959) - Recebido: 'ACK-15'
INFO - 2025-01-15 23:35:07,104: Remetente: ('127.0.0.1', 55959) - Recebido: 'ACK-16'
INFO - 2025-01-15 23:35:07,104: Remetente: ('127.0.0.1', 55959) - Recebido: 'ACK-17'
INFO - 2025-01-15 23:35:07,104: Remetente: ('127.0.0.1', 55959) - Recebido: 'ACK-18'
INFO - 2025-01-15 23:35:07,104: Remetente: ('127.0.0.1', 55959) - Recebido: 'ACK-19'
INFO - 2025-01-15 23:35:07,104: Remetente: ('127.0.0.1', 55959) - Recebido: 'ACK-20'
INFO - 2025-01-15 23:35:07,104: Remetente: ('127.0.0.1', 55959) - Recebido: 'ACK-21'
INFO - 2025-01-15 23:35:07,104: Remetente: ('127.0.0.1', 55959) - Recebido: 'ACK-22'
INFO - 2025-01-15 23:35:07,104: Remetente: ('127.0.0.1', 55959) - Recebido: 'ACK-23'
INFO - 2025-01-15 23:35:07,104: Remetente: ('127.0.0.1', 55959) - Recebido: 'ACK-24'
INFO - 2025-01-15 23:35:07,104: Remetente: ('127.0.0.1', 55959) - Recebido: 'ACK-25'
INFO - 2025-01-15 23:35:07,104: Remetente: ('127.0.0.1', 55959) - Recebido: 'ACK-26'
INFO - 2025-01-15 23:35:07,104: Remetente: ('127.0.0.1', 55959) - Recebido: 'ACK-27'
INFO - 2025-01-15 23:35:07,104: Remetente: ('127.0.0.1', 55959) - Recebido: 'ACK-28'
INFO - 2025-01-15 23:35:07,104: Remetente: ('127.0.0.1', 55959) - Recebido: 'ACK-29'
INFO - 2025-01-15 23:35:07,104: Remetente: ('127.0.0.1', 55959) - Recebido: 'ACK-30'
INFO - 2025-01-15 23:35:07,104: Remetente: ('127.0.0.1', 55959) - Recebido: 'ACK-31'
